Tahun,Jk,Umur,Penduduk
2022,Perempuan,35-39,10130
2022,Perempuan,40-44,9923
2022,Perempuan,45-49,9135
2022,Perempuan,50-54,8243
2022,Perempuan,55-59,7113
2022,Perempuan,60-64,5685
2022,Perempuan,65-69,4145
2022,Perempuan,70-74,2806
2022,Perempuan,75-79,1988
2022,Perempuan,80-84,1159
2022,Perempuan,85+,598
2023,Laki-laki,00-04,11346
2023,Laki-laki,05-09,11833
2023,Laki-laki,10-14,12261
2023,Laki-laki,15-19,11682
2023,Laki-laki,20-24,11179
2023,Laki-laki,25-29,11027
2023,Laki-laki,30-34,10582
2023,Laki-laki,35-39,10514
2023,Laki-laki,40-44,10359
2023,Laki-laki,45-49,9413
2023,Laki-laki,50-54,8383
2023,Laki-laki,55-59,7124
2023,Laki-laki,60-64,5536
2023,Laki-laki,65-69,3816
2023,Laki-laki,70-74,2319
2023,Laki-laki,75-79,1347
2023,Laki-laki,80-84,692
2023,Laki-laki,85+,296
2023,Perempuan,00-04,10748
2023,Perempuan,05-09,11231
2023,Perempuan,10-14,11638
2023,Perempuan,15-19,11086
2023,Perempuan,20-24,10626
2023,Perempuan,25-29,10507
2023,Perempuan,30-34,10076
2023,Perempuan,35-39,10055
2023,Perempuan,40-44,10021
2023,Perempuan,45-49,9253
2023,Perempuan,50-54,8378
2023,Perempuan,55-59,7291
2023,Perempuan,60-64,5892
2023,Perempuan,65-69,4336
2023,Perempuan,70-74,2899
2023,Perempuan,75-79,1999
2023,Perempuan,80-84,1175
2023,Perempuan,85+,615
2024,Laki-laki,00-04,11277
2024,Laki-laki,05-09,11689
2024,Laki-laki,10-14,12263
2024,Laki-laki,15-19,11829
2024,Laki-laki,20-24,11184
2024,Laki-laki,25-29,11084
2024,Laki-laki,30-34,10606
2024,Laki-laki,35-39,10454
2024,Laki-laki,40-44,10455
2024,Laki-laki,45-49,9563
2024,Laki-laki,50-54,8526
2024,Laki-laki,55-59,7303
2024,Laki-laki,60-64,5744
2024,Laki-laki,65-69,4009
2024,Laki-laki,70-74,2448
2024,Laki-laki,75-79,1380
2024,Laki-laki,80-84,708
2024,Laki-laki,85+,312
2024,Perempuan,00-04,10683
2024,Perempuan,05-09,11092
2024,Perempuan,10-14,11639
2024,Perempuan,15-19,11231
2024,Perempuan,20-24,10630
2024,Perempuan,25-29,10565
2024,Perempuan,30-34,10101
2024,Perempuan,35-39,9989
2024,Perempuan,40-44,10091
2024,Perempuan,45-49,9382
2024,Perempuan,50-54,8514
2024,Perempuan,55-59,7469
2024,Perempuan,60-64,6106
2024,Perempuan,65-69,4546
2024,Perempuan,70-74,3040
2024,Perempuan,75-79,2028
2024,Perempuan,80-84,1206
2024,Perempuan,85+,650
2025,Laki-laki,00-04,11215
2025,Laki-laki,05-09,11564
2025,Laki-laki,10-14,12231
2025,Laki-laki,15-19,11952
2025,Laki-laki,20-24,11225
2025,Laki-laki,25-29,11110
2025,Laki-laki,30-34,10663
2025,Laki-laki,35-39,10410
2025,Laki-laki,40-44,10497
2025,Laki-laki,45-49,9715
2025,Laki-laki,50-54,8664
2025,Laki-laki,55-59,7473
2025,Laki-laki,60-64,5944
2025,Laki-laki,65-69,4206
2025,Laki-laki,70-74,2589
2025,Laki-laki,75-79,1422
2025,Laki-laki,80-84,723
2025,Laki-laki,85+,328
2025,Perempuan,00-04,10626
2025,Perempuan,05-09,10970
2025,Perempuan,10-14,11609
2025,Perempuan,15-19,11351
2025,Perempuan,20-24,10670
2025,Perempuan,25-29,10591
2025,Perempuan,30-34,10159
2025,Perempuan,35-39,9942
2025,Perempuan,40-44,10110
