Provinsi,Tahun,Tamu,Hotel,Jumlah
Bengkulu,2014,WNA,Non-Bintang,328.24
Bengkulu,2015,WNA,Non-Bintang,148.06
Bengkulu,2016,WNA,Non-Bintang,659
Bengkulu,2017,WNA,Non-Bintang,264.77
Bengkulu,2018,WNA,Non-Bintang,118
Bengkulu,2019,WNA,Non-Bintang,559
Bengkulu,2020,WNA,Non-Bintang,352
Bengkulu,2021,WNA,Non-Bintang,69
Bengkulu,2003,WNI,Non-Bintang,33723
Bengkulu,2004,WNI,Non-Bintang,37057
Bengkulu,2005,WNI,Non-Bintang,51555
Bengkulu,2006,WNI,Non-Bintang,81169
Bengkulu,2007,WNI,Non-Bintang,58452
Bengkulu,2008,WNI,Non-Bintang,66618
Bengkulu,2009,WNI,Non-Bintang,64060
Bengkulu,2010,WNI,Non-Bintang,79264
Bengkulu,2011,WNI,Non-Bintang,163317
Bengkulu,2012,WNI,Non-Bintang,166641
Bengkulu,2013,WNI,Non-Bintang,201726.86
Bengkulu,2014,WNI,Non-Bintang,299225.02
Bengkulu,2015,WNI,Non-Bintang,149099.58
Bengkulu,2016,WNI,Non-Bintang,530732
Bengkulu,2017,WNI,Non-Bintang,541565.22
Bengkulu,2018,WNI,Non-Bintang,441148
Bengkulu,2019,WNI,Non-Bintang,446140.5
Bengkulu,2020,WNI,Non-Bintang,145130
Bengkulu,2021,WNI,Non-Bintang,299329
Lampung,2003,WNA,Berbintang,3.3
Lampung,2004,WNA,Berbintang,3.8
Lampung,2005,WNA,Berbintang,3.1
Lampung,2006,WNA,Berbintang,2.9
Lampung,2007,WNA,Berbintang,2.9
Lampung,2008,WNA,Berbintang,2.8
Lampung,2009,WNA,Berbintang,2.7
Lampung,2010,WNA,Berbintang,2.1
Lampung,2011,WNA,Berbintang,5
Lampung,2012,WNA,Berbintang,14.9
Lampung,2013,WNA,Berbintang,35.4
Lampung,2014,WNA,Berbintang,17.9
Lampung,2015,WNA,Berbintang,4.6
Lampung,2016,WNA,Berbintang,11.27
Lampung,2017,WNA,Berbintang,9
Lampung,2018,WNA,Berbintang,3.25
Lampung,2019,WNA,Berbintang,3.01
Lampung,2020,WNA,Berbintang,0.76
Lampung,2021,WNA,Berbintang,0.57
Lampung,2003,WNI,Berbintang,107.7
Lampung,2004,WNI,Berbintang,169.9
Lampung,2005,WNI,Berbintang,92.3
Lampung,2006,WNI,Berbintang,81.4
Lampung,2007,WNI,Berbintang,80.1
Lampung,2008,WNI,Berbintang,75.1
Lampung,2009,WNI,Berbintang,71.5
Lampung,2010,WNI,Berbintang,101
Lampung,2011,WNI,Berbintang,170.2
Lampung,2012,WNI,Berbintang,172.8
Lampung,2013,WNI,Berbintang,205.7
Lampung,2014,WNI,Berbintang,184.2
Lampung,2015,WNI,Berbintang,185
Lampung,2016,WNI,Berbintang,563.07
